rate_date,currency,currency_symbol,rate_to_inr,source
2026-08-01,US Dollar,$,95.0982,Exchange Rate API
2026-07-31,US Dollar,$,94.8415,Exchange Rate API
2026-07-30,US Dollar,$,94.5265,Exchange Rate API
2026-07-29,US Dollar,$,94.7947,Exchange Rate API
2026-07-28,US Dollar,$,94.9957,Exchange Rate API
2026-07-27,US Dollar,$,95.4428,Exchange Rate API
2026-07-26,US Dollar,$,94.9697,Exchange Rate API
2026-07-25,US Dollar,$,94.8807,Exchange Rate API
2026-07-24,US Dollar,$,94.3453,Exchange Rate API
2026-07-23,US Dollar,$,94.0268,Exchange Rate API
2026-07-22,US Dollar,$,94.0328,Exchange Rate API
2026-07-21,US Dollar,$,93.4985,Exchange Rate API
2026-07-20,US Dollar,$,93.1606,Exchange Rate API
2026-07-19,US Dollar,$,93.3282,Exchange Rate API
2026-07-18,US Dollar,$,93.3785,Exchange Rate API
2026-07-17,US Dollar,$,93.0652,Exchange Rate API
2026-07-16,US Dollar,$,93.1649,Exchange Rate API
2026-07-15,US Dollar,$,93.5108,Exchange Rate API
2026-07-14,US Dollar,$,92.957,Exchange Rate API
2026-07-13,US Dollar,$,93.2981,Exchange Rate API
2026-07-12,US Dollar,$,93.5199,Exchange Rate API
2026-07-11,US Dollar,$,93.3406,Exchange Rate API
2026-07-10,US Dollar,$,92.9547,Exchange Rate API
2026-07-09,US Dollar,$,93.4647,Exchange Rate API
2026-07-08,US Dollar,$,93.2814,Exchange Rate API
2026-07-07,US Dollar,$,92.8255,Exchange Rate API
2026-07-06,US Dollar,$,92.3763,Exchange Rate API
2026-07-05,US Dollar,$,92.7615,Exchange Rate API
2026-07-04,US Dollar,$,92.877,Exchange Rate API
2026-07-03,US Dollar,$,93.2193,Exchange Rate API
2026-07-02,US Dollar,$,93.4763,Exchange Rate API
2026-07-01,US Dollar,$,93.5169,Exchange Rate API
2026-06-30,US Dollar,$,94.0478,Exchange Rate API
2026-06-29,US Dollar,$,93.9107,Exchange Rate API
2026-06-28,US Dollar,$,93.9693,Exchange Rate API
2026-06-27,US Dollar,$,94.3407,Exchange Rate API
2026-06-26,US Dollar,$,94.4749,Exchange Rate API
2026-06-25,US Dollar,$,94.885,Exchange Rate API
2026-06-24,US Dollar,$,94.9731,Exchange Rate API
2026-06-23,US Dollar,$,95.2062,Exchange Rate API
2026-06-22,US Dollar,$,94.6873,Exchange Rate API
2026-06-21,US Dollar,$,94.3781,Exchange Rate API
2026-06-20,US Dollar,$,94.1396,Exchange Rate API
2026-06-19,US Dollar,$,93.6649,Exchange Rate API
2026-06-18,US Dollar,$,93.3646,Exchange Rate API
2026-06-17,US Dollar,$,92.9176,Exchange Rate API
2026-06-16,US Dollar,$,92.67,Exchange Rate API
2026-06-15,US Dollar,$,92.8209,Exchange Rate API
2026-06-14,US Dollar,$,92.6703,Exchange Rate API
2026-06-13,US Dollar,$,92.5259,Exchange Rate API
2026-06-12,US Dollar,$,92.2034,Exchange Rate API
2026-06-11,US Dollar,$,91.9456,Exchange Rate API
2026-06-10,US Dollar,$,92.4274,Exchange Rate API
2026-06-09,US Dollar,$,92.5916,Exchange Rate API
2026-06-08,US Dollar,$,92.7129,Exchange Rate API
2026-06-07,US Dollar,$,92.347,Exchange Rate API
2026-06-06,US Dollar,$,92.6009,Exchange Rate API
2026-06-05,US Dollar,$,92.2269,Exchange Rate API
2026-06-04,US Dollar,$,92.0935,Exchange Rate API
2026-06-03,US Dollar,$,92.6345,Exchange Rate API
2026-06-02,US Dollar,$,92.7901,Exchange Rate API
2026-06-01,US Dollar,$,92.8535,Exchange Rate API
2026-05-31,US Dollar,$,93.0592,Exchange Rate API
2026-05-30,US Dollar,$,93.4421,Exchange Rate API
2026-05-29,US Dollar,$,93.7516,Exchange Rate API
2026-05-28,US Dollar,$,93.4468,Exchange Rate API
2026-05-27,US Dollar,$,92.9221,Exchange Rate API
2026-05-26,US Dollar,$,92.7163,Exchange Rate API
2026-05-25,US Dollar,$,92.4579,Exchange Rate API
2026-05-24,US Dollar,$,92.1372,Exchange Rate API
2026-05-23,US Dollar,$,92.6269,Exchange Rate API
2026-05-22,US Dollar,$,93.0452,Exchange Rate API
2026-05-21,US Dollar,$,92.8383,Exchange Rate API
2026-05-20,US Dollar,$,93.0115,Exchange Rate API
2026-05-19,US Dollar,$,92.895,Exchange Rate API
2026-05-18,US Dollar,$,93.3571,Exchange Rate API
2026-05-17,US Dollar,$,93.311,Exchange Rate API
2026-05-16,US Dollar,$,93.0477,Exchange Rate API
2026-05-15,US Dollar,$,92.7648,Exchange Rate API
2026-05-14,US Dollar,$,92.8331,Exchange Rate API
2026-05-13,US Dollar,$,92.5688,Exchange Rate API
2026-05-12,US Dollar,$,92.6628,Exchange Rate API
2026-05-11,US Dollar,$,93.1052,Exchange Rate API
2026-05-10,US Dollar,$,92.9928,Exchange Rate API
2026-05-09,US Dollar,$,92.6796,Exchange Rate API
2026-05-08,US Dollar,$,93.2329,Exchange Rate API
2026-05-07,US Dollar,$,93.2436,Exchange Rate API
2026-05-06,US Dollar,$,92.7859,Exchange Rate API
2026-05-05,US Dollar,$,92.2816,Exchange Rate API
2026-05-04,US Dollar,$,91.8493,Exchange Rate API
2026-05-03,US Dollar,$,91.9898,Exchange Rate API
2026-05-02,US Dollar,$,92.3122,Exchange Rate API
2026-05-01,US Dollar,$,92.226,Exchange Rate API
2026-04-30,US Dollar,$,91.743,Exchange Rate API
2026-04-29,US Dollar,$,91.6127,Exchange Rate API
2026-04-28,US Dollar,$,92.1581,Exchange Rate API
2026-04-27,US Dollar,$,92.1903,Exchange Rate API
2026-04-26,US Dollar,$,92.7114,Exchange Rate API
2026-04-25,US Dollar,$,93.1128,Exchange Rate API
2026-04-24,US Dollar,$,92.567,Exchange Rate API
2026-04-23,US Dollar,$,92.8122,Exchange Rate API
2026-04-22,US Dollar,$,93.0146,Exchange Rate API
2026-04-21,US Dollar,$,93.0559,Exchange Rate API
2026-04-20,US Dollar,$,92.7955,Exchange Rate API
2026-04-19,US Dollar,$,92.9525,Exchange Rate API
2026-04-18,US Dollar,$,92.5192,Exchange Rate API
2026-04-17,US Dollar,$,92.4468,Exchange Rate API
