loan_id,customer_id,loan_type,principal_amount,interest_rate,tenure_months,emi_amount,loan_status,disbursement_date,created_at,updated_at,source_system
LN00000001,CUST00002169,Car Loan,270030.11,9.66,40,7922.76,Active,2022-06-19,2026-08-03 11:22:39.244663,,Loan Management System
LN00000002,CUST00002448,Home Loan,7536343.57,12.77,276,84763.64,Active,2013-06-24,2026-08-03 11:22:39.245729,,Loan Management System
LN00000003,CUST00002936,Home Loan,2710278.49,13.42,347,30962.88,Active,2012-01-05,2026-08-03 11:22:39.245729,,Loan Management System
LN00000004,CUST00003468,Car Loan,1725836.15,9.04,47,43740.09,Closed,2024-03-14,2026-08-03 11:22:39.245729,,Loan Management System
LN00000005,CUST00002366,Home Loan,8155282.89,14.53,234,105030.31,Active,2016-04-06,2026-08-03 11:22:39.245729,,Loan Management System
LN00000006,CUST00000782,Home Loan,7753194.23,7.68,254,61856.65,Active,2015-10-02,2026-08-03 11:22:39.246724,,Loan Management System
LN00000007,CUST00001201,Business Loan,12272657.61,15.78,105,216236.57,Active,2015-05-20,2026-08-03 11:22:39.246724,,Loan Management System
LN00000008,CUST00000180,Home Loan,9261806.03,7.41,210,78831.9,Closed,2013-12-17,2026-08-03 11:22:39.247727,,Loan Management System
LN00000009,CUST00001652,Car Loan,2612779.32,13.14,20,146176.77,Active,2024-02-12,2026-08-03 11:22:39.247727,,Loan Management System
LN00000010,CUST00002402,Home Loan,3249185.65,7.42,179,30064.27,Defaulted,2013-04-30,2026-08-03 11:22:39.247727,,Loan Management System
LN00000011,CUST00000792,Personal Loan,707444.94,16.09,22,37345.82,Active,2023-02-05,2026-08-03 11:22:39.248722,,Loan Management System
LN00000012,CUST00003120,Home Loan,3036289.31,17.27,96,58548.89,Closed,2024-03-09,2026-08-03 11:22:39.248722,,Loan Management System
LN00000013,CUST00004102,Home Loan,7426704.58,8.38,254,62541.63,Active,2020-11-11,2026-08-03 11:22:39.248722,,Loan Management System
LN00000014,CUST00000051,Gold Loan,1728200.85,9.03,23,82110.65,Closed,2013-01-24,2026-08-03 11:22:39.249638,,Loan Management System
LN00000015,CUST00000789,Education Loan,993287.48,6.87,116,11742.13,Active,2021-08-19,2026-08-03 11:22:39.249638,,Loan Management System
