repayment_id,loan_id,payment_date,amount_paid,payment_mode,created_at,updated_at,source_system
RP00035001,LN00002535,2023-05-03,55361.18,CASH,2026-08-03 12:15:32.620230,,Loan Management System
RP00035002,LN00002535,2023-06-03,55361.18,AUTO DEBIT,2026-08-03 12:15:32.620230,,Loan Management System
RP00035003,LN00002535,2023-07-03,28217.88,NET BANKING,2026-08-03 12:15:32.620230,,Loan Management System
RP00035004,LN00002535,2023-08-03,55361.18,CHEQUE,2026-08-03 12:15:32.620230,,Loan Management System
RP00035005,LN00002535,2023-09-03,55361.18,UPI,2026-08-03 12:15:32.620230,,Loan Management System
RP00035006,LN00002535,2023-10-03,56510.5,IMPS,2026-08-03 12:15:32.620230,,Loan Management System
RP00035007,LN00002535,2023-11-03,55361.18,CASH,2026-08-03 12:15:32.620230,,Loan Management System
RP00035008,LN00002535,2023-12-03,55361.18,NEFT,2026-08-03 12:15:32.620230,,Loan Management System
RP00035009,LN00002535,2024-01-03,39888.43,RTGS,2026-08-03 12:15:32.620230,,Loan Management System
RP00035010,LN00002535,2024-02-03,55361.18,NEFT,2026-08-03 12:15:32.620230,,Loan Management System
RP00035011,LN00002535,2024-03-03,55361.18,IMPS,2026-08-03 12:15:32.620230,,Loan Management System
RP00035012,LN00002535,2024-04-03,55361.18,NET BANKING,2026-08-03 12:15:32.620230,,Loan Management System
RP00035013,LN00002535,2024-05-03,55361.18,CHEQUE,2026-08-03 12:15:32.621235,,Loan Management System
RP00035014,LN00002535,2024-06-03,55361.18,NET BANKING,2026-08-03 12:15:32.621235,,Loan Management System
RP00035015,LN00002535,2024-07-03,55361.18,MOBILE BANKING,2026-08-03 12:15:32.621235,,Loan Management System
RP00035016,LN00002535,2024-08-03,55361.18,RTGS,2026-08-03 12:15:32.621235,,Loan Management System
RP00035017,LN00002535,2024-09-03,55361.18,CHEQUE,2026-08-03 12:15:32.621235,,Loan Management System
RP00035018,LN00002535,2024-10-03,55361.18,RTGS,2026-08-03 12:15:32.621235,,Loan Management System
RP00035019,LN00002535,2024-11-03,55361.18,CASH,2026-08-03 12:15:32.621235,,Loan Management System
RP00035020,LN00002535,2024-12-03,55361.18,IMPS,2026-08-03 12:15:32.621235,,Loan Management System
RP00035021,LN00002535,2025-01-03,55361.18,IMPS,2026-08-03 12:15:32.621235,,Loan Management System
RP00035022,LN00002535,2025-02-03,57942.31,MOBILE BANKING,2026-08-03 12:15:32.621235,,Loan Management System
RP00035023,LN00002535,2025-03-03,55361.18,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035024,LN00002535,2025-04-03,55361.18,NEFT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035025,LN00002535,2025-05-03,55361.18,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035026,LN00002535,2025-06-03,55361.18,AUTO DEBIT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035027,LN00002535,2025-07-03,55361.18,CHEQUE,2026-08-03 12:15:32.621235,,Loan Management System
RP00035028,LN00002535,2025-08-03,55361.18,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035029,LN00002558,2024-12-05,13100.42,NET BANKING,2026-08-03 12:15:32.621235,,Loan Management System
RP00035030,LN00002558,2025-01-05,13100.42,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035031,LN00002558,2025-02-05,13100.42,CASH,2026-08-03 12:15:32.621235,,Loan Management System
RP00035032,LN00002558,2025-03-05,13100.42,NEFT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035033,LN00002558,2025-04-05,13100.42,NEFT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035034,LN00002558,2025-05-05,13100.42,AUTO DEBIT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035035,LN00002558,2025-06-05,13100.42,NEFT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035036,LN00002558,2025-07-05,12009.44,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035037,LN00002558,2025-08-05,13100.42,CHEQUE,2026-08-03 12:15:32.621235,,Loan Management System
RP00035038,LN00002558,2025-09-05,13100.42,AUTO DEBIT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035039,LN00002558,2025-10-05,13100.42,CASH,2026-08-03 12:15:32.621235,,Loan Management System
RP00035040,LN00002558,2025-11-05,13100.42,MOBILE BANKING,2026-08-03 12:15:32.621235,,Loan Management System
RP00035041,LN00002558,2025-12-05,13100.42,CHEQUE,2026-08-03 12:15:32.621235,,Loan Management System
RP00035042,LN00002558,2026-01-05,13100.42,NET BANKING,2026-08-03 12:15:32.621235,,Loan Management System
RP00035043,LN00002558,2026-02-05,13100.42,AUTO DEBIT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035044,LN00002558,2026-03-05,13458.34,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035045,LN00002558,2026-04-05,13100.42,IMPS,2026-08-03 12:15:32.621235,,Loan Management System
RP00035046,LN00002558,2026-05-05,13100.42,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035047,LN00002558,2026-06-05,8030.75,CHEQUE,2026-08-03 12:15:32.621235,,Loan Management System
RP00035048,LN00002558,2026-07-05,13100.42,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035049,LN00002651,2014-03-16,111770.73,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035050,LN00002651,2014-04-16,111770.73,CASH,2026-08-03 12:15:32.621235,,Loan Management System
RP00035051,LN00002651,2014-05-16,74323.85,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035052,LN00002651,2014-06-16,111770.73,NET BANKING,2026-08-03 12:15:32.621235,,Loan Management System
RP00035053,LN00002651,2014-07-16,111770.73,NEFT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035054,LN00002651,2014-08-16,111770.73,IMPS,2026-08-03 12:15:32.621235,,Loan Management System
RP00035055,LN00002651,2014-09-16,111770.73,IMPS,2026-08-03 12:15:32.621235,,Loan Management System
RP00035056,LN00002651,2014-10-16,111770.73,RTGS,2026-08-03 12:15:32.621235,,Loan Management System
RP00035057,LN00002651,2014-11-16,86153.6,NEFT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035058,LN00002651,2014-12-16,111770.73,NEFT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035059,LN00002651,2015-01-16,111770.73,CHEQUE,2026-08-03 12:15:32.621235,,Loan Management System
RP00035060,LN00002651,2015-02-16,111770.73,MOBILE BANKING,2026-08-03 12:15:32.621235,,Loan Management System
RP00035061,LN00002651,2015-03-16,111770.73,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035062,LN00002651,2015-04-16,102483.88,NEFT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035063,LN00002651,2015-05-16,61051.9,NEFT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035064,LN00002651,2015-06-16,111770.73,RTGS,2026-08-03 12:15:32.621235,,Loan Management System
RP00035065,LN00002651,2015-07-16,111770.73,CHEQUE,2026-08-03 12:15:32.621235,,Loan Management System
RP00035066,LN00002651,2015-08-16,111770.73,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035067,LN00002651,2015-09-16,89881.52,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035068,LN00002651,2015-10-16,89419.98,MOBILE BANKING,2026-08-03 12:15:32.621235,,Loan Management System
RP00035069,LN00002651,2015-11-16,111770.73,NEFT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035070,LN00002651,2015-12-16,111770.73,NEFT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035071,LN00002651,2016-01-16,111770.73,CASH,2026-08-03 12:15:32.621235,,Loan Management System
RP00035072,LN00002651,2016-02-16,111770.73,CASH,2026-08-03 12:15:32.621235,,Loan Management System
RP00035073,LN00002651,2016-03-16,114117.04,NEFT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035074,LN00002651,2016-04-16,111770.73,MOBILE BANKING,2026-08-03 12:15:32.621235,,Loan Management System
RP00035075,LN00002651,2016-05-16,111770.73,CHEQUE,2026-08-03 12:15:32.621235,,Loan Management System
RP00035076,LN00002651,2016-06-16,111770.73,CHEQUE,2026-08-03 12:15:32.621235,,Loan Management System
RP00035077,LN00002651,2016-07-16,111770.73,CASH,2026-08-03 12:15:32.621235,,Loan Management System
RP00035078,LN00002651,2016-08-16,111770.73,AUTO DEBIT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035079,LN00002651,2016-09-16,111770.73,MOBILE BANKING,2026-08-03 12:15:32.621235,,Loan Management System
RP00035080,LN00002651,2016-10-16,115445.67,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035081,LN00002651,2016-11-16,111770.73,UPI,2026-08-03 12:15:32.621235,,Loan Management System
RP00035082,LN00002651,2016-12-16,111770.73,CASH,2026-08-03 12:15:32.621235,,Loan Management System
RP00035083,LN00002651,2017-01-16,111770.73,NEFT,2026-08-03 12:15:32.621235,,Loan Management System
RP00035084,LN00002651,2017-02-16,111770.73,MOBILE BANKING,2026-08-03 12:15:32.621235,,Loan Management System
RP00035085,LN00002651,2017-03-16,111770.73,NEFT,2026-08-03 12:15:32.621235,,Loan Management System
