application_id,customer_id,loan_id,application_date,requested_amount,approval_status,created_at,updated_at,source_system
APP00004401,CUST00006487,LN00002770,2021-03-12,21968595.32,Approved,2026-08-03 12:23:34.042837,,Loan Management System
APP00004402,CUST00006621,LN00002773,2024-06-26,1878429.94,Approved,2026-08-03 12:23:34.042837,,Loan Management System
APP00004403,CUST00006746,LN00002769,2015-11-30,1645834.06,Approved,2026-08-03 12:23:34.042837,,Loan Management System
APP00004404,CUST00006393,,2013-11-30,2385427.88,Cancelled,2026-08-03 12:23:34.042837,,Loan Management System
APP00004405,CUST00006252,LN00002761,2023-07-22,4457872.17,Approved,2026-08-03 12:23:34.042837,,Loan Management System
APP00004406,CUST00006716,LN00002772,2011-10-22,6565648.77,Approved,2026-08-03 12:23:34.042837,,Loan Management System
APP00004407,CUST00006436,,2014-03-27,3478544.96,Rejected,2026-08-03 12:23:34.042837,,Loan Management System
APP00004408,CUST00006227,LN00002753,2011-09-19,7427938.0,Approved,2026-08-03 12:23:34.042837,,Loan Management System
APP00004409,CUST00006155,,2015-10-13,7943332.94,Cancelled,2026-08-03 12:23:34.043844,,Loan Management System
APP00004410,CUST00006695,,2014-10-05,345912.96,Cancelled,2026-08-03 12:23:34.043844,,Loan Management System
APP00004411,CUST00006266,LN00002765,2021-12-16,2377883.13,Approved,2026-08-03 12:23:34.043844,,Loan Management System
APP00004412,CUST00006671,LN00002775,2015-01-24,1415526.3,Approved,2026-08-03 12:23:34.043844,,Loan Management System
APP00004413,CUST00006661,,2021-02-02,667341.83,Pending,2026-08-03 12:23:34.043844,,Loan Management System
APP00004414,CUST00006236,LN00002756,2020-05-18,2718750.29,Approved,2026-08-03 12:23:34.043844,,Loan Management System
APP00004415,CUST00006331,,2019-02-21,562324.1,Rejected,2026-08-03 12:23:34.043844,,Loan Management System
APP00004416,CUST00006347,LN00002758,2024-07-11,5321058.34,Approved,2026-08-03 12:23:34.043844,,Loan Management System
APP00004417,CUST00006604,,2023-09-22,17301187.09,Rejected,2026-08-03 12:23:34.044843,,Loan Management System
APP00004418,CUST00006102,LN00002759,2020-10-02,3612577.96,Approved,2026-08-03 12:23:34.044843,,Loan Management System
APP00004419,CUST00006737,,2013-09-21,950734.99,Rejected,2026-08-03 12:23:34.044843,,Loan Management System
APP00004420,CUST00006025,,2022-12-30,1667759.56,Rejected,2026-08-03 12:23:34.044843,,Loan Management System
APP00004421,CUST00006502,LN00002751,2025-11-13,1584411.9,Approved,2026-08-03 12:23:34.044843,,Loan Management System
APP00004422,CUST00006486,LN00002762,2015-05-27,4215912.84,Approved,2026-08-03 12:23:34.044843,,Loan Management System
APP00004423,CUST00006364,LN00002774,2021-04-20,1722044.13,Approved,2026-08-03 12:23:34.044843,,Loan Management System
APP00004424,CUST00006746,LN00002766,2012-08-12,4987486.25,Approved,2026-08-03 12:23:34.044843,,Loan Management System
APP00004425,CUST00006045,,2014-10-27,2336430.92,Pending,2026-08-03 12:23:34.045844,,Loan Management System
APP00004426,CUST00006435,LN00002767,2017-03-17,6922677.56,Approved,2026-08-03 12:23:34.045844,,Loan Management System
APP00004427,CUST00006026,LN00002763,2013-01-25,932317.25,Approved,2026-08-03 12:23:34.045844,,Loan Management System
APP00004428,CUST00006215,,2020-12-08,282669.06,Pending,2026-08-03 12:23:34.045844,,Loan Management System
APP00004429,CUST00006281,LN00002755,2022-08-29,2106694.2,Approved,2026-08-03 12:23:34.045844,,Loan Management System
APP00004430,CUST00006322,,2024-02-07,1690664.74,Cancelled,2026-08-03 12:23:34.045844,,Loan Management System
APP00004431,CUST00006684,,2022-06-22,914225.15,Rejected,2026-08-03 12:23:34.045844,,Loan Management System
APP00004432,CUST00006470,LN00002760,2018-09-01,5147999.25,Approved,2026-08-03 12:23:34.045844,,Loan Management System
APP00004433,CUST00006014,LN00002768,2022-05-12,1865129.36,Approved,2026-08-03 12:23:34.045844,,Loan Management System
APP00004434,CUST00006388,LN00002764,2017-10-20,16499438.51,Approved,2026-08-03 12:23:34.045844,,Loan Management System
APP00004435,CUST00006027,LN00002771,2015-02-04,21475458.37,Approved,2026-08-03 12:23:34.045844,,Loan Management System
APP00004436,CUST00006266,,2017-11-12,3103923.93,Rejected,2026-08-03 12:23:34.045844,,Loan Management System
APP00004437,CUST00006074,LN00002752,2020-12-09,3130207.02,Approved,2026-08-03 12:23:34.046843,,Loan Management System
APP00004438,CUST00006388,,2026-06-11,1108855.29,Cancelled,2026-08-03 12:23:34.046843,,Loan Management System
APP00004439,CUST00006529,,2021-03-31,503363.23,Rejected,2026-08-03 12:23:34.046843,,Loan Management System
APP00004440,CUST00006399,LN00002754,2019-06-24,328782.14,Approved,2026-08-03 12:23:34.046843,,Loan Management System
