collateral_id,loan_id,asset_type,asset_value,valuation_date,created_at,updated_at,source_system
COL00001781,LN00002766,Property,7085057.53,2012-09-20,2026-08-03 12:23:34.051348,,Loan Management System
COL00001782,LN00002754,Vehicle,500713.92,2019-08-19,2026-08-03 12:23:34.051348,,Loan Management System
COL00001783,LN00002764,Property,23135595.86,2017-11-21,2026-08-03 12:23:34.051348,,Loan Management System
COL00001784,LN00002761,Property,6691759.89,2023-08-13,2026-08-03 12:23:34.051348,,Loan Management System
COL00001785,LN00002770,Property,23109972.11,2021-05-01,2026-08-03 12:23:34.051348,,Loan Management System
COL00001786,LN00002755,Property,2759697.38,2022-08-30,2026-08-03 12:23:34.051348,,Loan Management System
COL00001787,LN00002773,Gold,2440948.04,2024-06-18,2026-08-03 12:23:34.051348,,Loan Management System
COL00001788,LN00002768,Vehicle,2144833.98,2022-07-05,2026-08-03 12:23:34.051348,,Loan Management System
COL00001789,LN00002756,Property,3526379.82,2020-06-14,2026-08-03 12:23:34.051348,,Loan Management System
COL00001790,LN00002767,Property,8051895.49,2017-04-07,2026-08-03 12:23:34.051348,,Loan Management System
COL00001791,LN00002759,Property,5135710.18,2020-10-20,2026-08-03 12:23:34.051348,,Loan Management System
COL00001792,LN00002753,Property,9696417.01,2011-10-05,2026-08-03 12:23:34.052359,,Loan Management System
COL00001793,LN00002771,Property,24937346.36,2015-02-05,2026-08-03 12:23:34.052359,,Loan Management System
COL00001794,LN00002769,Vehicle,1672507.97,2015-12-01,2026-08-03 12:23:34.052359,,Loan Management System
COL00001795,LN00002762,Property,4534080.42,2015-06-09,2026-08-03 12:23:34.052359,,Loan Management System
COL00001796,LN00002752,Vehicle,3689364.61,2021-01-19,2026-08-03 12:23:34.052359,,Loan Management System
COL00001797,LN00002758,Property,7753657.59,2024-08-01,2026-08-03 12:23:34.052359,,Loan Management System
COL00001798,LN00002760,Property,6613662.32,2018-09-13,2026-08-03 12:23:34.052359,,Loan Management System
COL00001799,LN00002765,Gold,2814341.81,2022-01-29,2026-08-03 12:23:34.052359,,Loan Management System
COL00001800,LN00002757,Vehicle,420570.66,2016-08-22,2026-08-03 12:23:34.052359,,Loan Management System
COL00001801,LN00002772,Property,7243838.97,2011-11-20,2026-08-03 12:23:34.052359,,Loan Management System
COL00001802,LN00002751,Gold,1732961.74,2025-12-16,2026-08-03 12:23:34.052359,,Loan Management System
COL00001803,LN00002774,Gold,2679178.06,2021-04-13,2026-08-03 12:23:34.052359,,Loan Management System
