rate_date,currency,currency_symbol,rate_to_inr,source
2026-07-25,US Dollar,$,96.7212,Exchange Rate API
2026-07-24,US Dollar,$,96.883,Exchange Rate API
2026-07-23,US Dollar,$,96.3308,Exchange Rate API
2026-07-22,US Dollar,$,96.0707,Exchange Rate API
2026-07-21,US Dollar,$,95.7516,Exchange Rate API
2026-07-20,US Dollar,$,96.0233,Exchange Rate API
2026-07-19,US Dollar,$,96.2269,Exchange Rate API
2026-07-18,US Dollar,$,96.6798,Exchange Rate API
2026-07-17,US Dollar,$,96.2006,Exchange Rate API
2026-07-16,US Dollar,$,96.1105,Exchange Rate API
2026-07-15,US Dollar,$,95.5682,Exchange Rate API
2026-07-14,US Dollar,$,95.2455,Exchange Rate API
2026-07-13,US Dollar,$,95.2516,Exchange Rate API
2026-07-12,US Dollar,$,94.7104,Exchange Rate API
2026-07-11,US Dollar,$,94.3681,Exchange Rate API
2026-07-10,US Dollar,$,94.5378,Exchange Rate API
2026-07-09,US Dollar,$,94.5888,Exchange Rate API
2026-07-08,US Dollar,$,94.2715,Exchange Rate API
2026-07-07,US Dollar,$,94.3725,Exchange Rate API
2026-07-06,US Dollar,$,94.7229,Exchange Rate API
2026-07-05,US Dollar,$,94.1619,Exchange Rate API
2026-07-04,US Dollar,$,94.5075,Exchange Rate API
2026-07-03,US Dollar,$,94.7322,Exchange Rate API
2026-07-02,US Dollar,$,94.5506,Exchange Rate API
2026-07-01,US Dollar,$,94.1597,Exchange Rate API
2026-06-30,US Dollar,$,94.6763,Exchange Rate API
2026-06-29,US Dollar,$,94.4907,Exchange Rate API
2026-06-28,US Dollar,$,94.0289,Exchange Rate API
2026-06-27,US Dollar,$,93.5739,Exchange Rate API
2026-06-26,US Dollar,$,93.9641,Exchange Rate API
2026-06-25,US Dollar,$,94.0811,Exchange Rate API
2026-06-24,US Dollar,$,94.4278,Exchange Rate API
2026-06-23,US Dollar,$,94.6881,Exchange Rate API
2026-06-22,US Dollar,$,94.7293,Exchange Rate API
2026-06-21,US Dollar,$,95.2671,Exchange Rate API
2026-06-20,US Dollar,$,95.1282,Exchange Rate API
2026-06-19,US Dollar,$,95.1876,Exchange Rate API
2026-06-18,US Dollar,$,95.5639,Exchange Rate API
2026-06-17,US Dollar,$,95.6998,Exchange Rate API
2026-06-16,US Dollar,$,96.1152,Exchange Rate API
2026-06-15,US Dollar,$,96.2044,Exchange Rate API
2026-06-14,US Dollar,$,96.4406,Exchange Rate API
2026-06-13,US Dollar,$,95.915,Exchange Rate API
2026-06-12,US Dollar,$,95.6018,Exchange Rate API
2026-06-11,US Dollar,$,95.3602,Exchange Rate API
2026-06-10,US Dollar,$,94.8793,Exchange Rate API
2026-06-09,US Dollar,$,94.5751,Exchange Rate API
2026-06-08,US Dollar,$,94.1223,Exchange Rate API
2026-06-07,US Dollar,$,93.8715,Exchange Rate API
2026-06-06,US Dollar,$,94.0243,Exchange Rate API
2026-06-05,US Dollar,$,93.8718,Exchange Rate API
2026-06-04,US Dollar,$,93.7256,Exchange Rate API
2026-06-03,US Dollar,$,93.3989,Exchange Rate API
2026-06-02,US Dollar,$,93.1377,Exchange Rate API
2026-06-01,US Dollar,$,93.6257,Exchange Rate API
2026-05-31,US Dollar,$,93.792,Exchange Rate API
2026-05-30,US Dollar,$,93.9148,Exchange Rate API
2026-05-29,US Dollar,$,93.5442,Exchange Rate API
2026-05-28,US Dollar,$,93.8014,Exchange Rate API
2026-05-27,US Dollar,$,93.4225,Exchange Rate API
2026-05-26,US Dollar,$,93.2874,Exchange Rate API
2026-05-25,US Dollar,$,93.8354,Exchange Rate API
2026-05-24,US Dollar,$,93.993,Exchange Rate API
2026-05-23,US Dollar,$,94.0572,Exchange Rate API
2026-05-22,US Dollar,$,94.2656,Exchange Rate API
2026-05-21,US Dollar,$,94.6534,Exchange Rate API
2026-05-20,US Dollar,$,94.9669,Exchange Rate API
2026-05-19,US Dollar,$,94.6581,Exchange Rate API
2026-05-18,US Dollar,$,94.1266,Exchange Rate API
2026-05-17,US Dollar,$,93.9182,Exchange Rate API
2026-05-16,US Dollar,$,93.6564,Exchange Rate API
2026-05-15,US Dollar,$,93.3316,Exchange Rate API
2026-05-14,US Dollar,$,93.8276,Exchange Rate API
2026-05-13,US Dollar,$,94.2514,Exchange Rate API
2026-05-12,US Dollar,$,94.0418,Exchange Rate API
2026-05-11,US Dollar,$,94.2172,Exchange Rate API
2026-05-10,US Dollar,$,94.0992,Exchange Rate API
2026-05-09,US Dollar,$,94.5673,Exchange Rate API
2026-05-08,US Dollar,$,94.5206,Exchange Rate API
2026-05-07,US Dollar,$,94.2539,Exchange Rate API
2026-05-06,US Dollar,$,93.9673,Exchange Rate API
2026-05-05,US Dollar,$,94.0365,Exchange Rate API
2026-05-04,US Dollar,$,93.7688,Exchange Rate API
2026-05-03,US Dollar,$,93.864,Exchange Rate API
2026-05-02,US Dollar,$,94.3121,Exchange Rate API
2026-05-01,US Dollar,$,94.1982,Exchange Rate API
2026-04-30,US Dollar,$,93.8809,Exchange Rate API
2026-04-29,US Dollar,$,94.4414,Exchange Rate API
2026-04-28,US Dollar,$,94.4522,Exchange Rate API
2026-04-27,US Dollar,$,93.9885,Exchange Rate API
2026-04-26,US Dollar,$,93.4777,Exchange Rate API
2026-04-25,US Dollar,$,93.0398,Exchange Rate API
2026-04-24,US Dollar,$,93.1821,Exchange Rate API
2026-04-23,US Dollar,$,93.5087,Exchange Rate API
2026-04-22,US Dollar,$,93.4214,Exchange Rate API
2026-04-21,US Dollar,$,92.9321,Exchange Rate API
2026-04-20,US Dollar,$,92.8001,Exchange Rate API
2026-04-19,US Dollar,$,93.3526,Exchange Rate API
2026-04-18,US Dollar,$,93.3852,Exchange Rate API
2026-04-17,US Dollar,$,93.9131,Exchange Rate API
2026-04-16,US Dollar,$,94.3197,Exchange Rate API
2026-04-15,US Dollar,$,93.7668,Exchange Rate API
2026-04-14,US Dollar,$,94.0152,Exchange Rate API
2026-04-13,US Dollar,$,94.2202,Exchange Rate API
2026-04-12,US Dollar,$,94.262,Exchange Rate API
2026-04-11,US Dollar,$,93.9982,Exchange Rate API
2026-04-10,US Dollar,$,94.1572,Exchange Rate API
2026-04-09,US Dollar,$,93.7183,Exchange Rate API
2026-04-08,US Dollar,$,93.6449,Exchange Rate API
2026-04-07,US Dollar,$,93.5929,Exchange Rate API
2026-04-06,US Dollar,$,94.1026,Exchange Rate API
2026-04-05,US Dollar,$,94.527,Exchange Rate API
2026-04-04,US Dollar,$,94.2586,Exchange Rate API
2026-04-03,US Dollar,$,94.2593,Exchange Rate API
2026-04-02,US Dollar,$,93.8958,Exchange Rate API
2026-04-01,US Dollar,$,94.3607,Exchange Rate API
2026-03-31,US Dollar,$,94.7802,Exchange Rate API
2026-03-30,US Dollar,$,94.551,Exchange Rate API
2026-03-29,US Dollar,$,94.7087,Exchange Rate API
2026-03-28,US Dollar,$,94.8325,Exchange Rate API
2026-03-27,US Dollar,$,94.4374,Exchange Rate API
2026-03-26,US Dollar,$,94.7349,Exchange Rate API
2026-03-25,US Dollar,$,94.7797,Exchange Rate API
2026-03-24,US Dollar,$,95.0966,Exchange Rate API
2026-03-23,US Dollar,$,95.1312,Exchange Rate API
2026-03-22,US Dollar,$,94.5611,Exchange Rate API
2026-03-21,US Dollar,$,94.3616,Exchange Rate API
2026-03-20,US Dollar,$,93.8175,Exchange Rate API
2026-03-19,US Dollar,$,94.3006,Exchange Rate API
2026-03-18,US Dollar,$,94.7292,Exchange Rate API
2026-03-17,US Dollar,$,95.1062,Exchange Rate API
2026-03-16,US Dollar,$,94.8865,Exchange Rate API
2026-03-15,US Dollar,$,94.3831,Exchange Rate API
2026-03-14,US Dollar,$,94.8112,Exchange Rate API
2026-03-13,US Dollar,$,95.3197,Exchange Rate API
2026-03-12,US Dollar,$,94.8458,Exchange Rate API
2026-03-11,US Dollar,$,94.8299,Exchange Rate API
2026-03-10,US Dollar,$,94.3397,Exchange Rate API
2026-03-09,US Dollar,$,94.6347,Exchange Rate API
2026-03-08,US Dollar,$,94.9366,Exchange Rate API
2026-03-07,US Dollar,$,94.5132,Exchange Rate API
2026-03-06,US Dollar,$,94.4852,Exchange Rate API
2026-03-05,US Dollar,$,94.5417,Exchange Rate API
2026-03-04,US Dollar,$,94.2752,Exchange Rate API
2026-03-03,US Dollar,$,94.6965,Exchange Rate API
2026-03-02,US Dollar,$,94.6092,Exchange Rate API
2026-03-01,US Dollar,$,94.282,Exchange Rate API
2026-02-28,US Dollar,$,94.3265,Exchange Rate API
2026-02-27,US Dollar,$,94.5868,Exchange Rate API
2026-02-26,US Dollar,$,94.2476,Exchange Rate API
2026-02-25,US Dollar,$,94.0347,Exchange Rate API
2026-02-24,US Dollar,$,94.5934,Exchange Rate API
2026-02-23,US Dollar,$,94.7635,Exchange Rate API
2026-02-22,US Dollar,$,94.6931,Exchange Rate API
2026-02-21,US Dollar,$,94.7131,Exchange Rate API
2026-02-20,US Dollar,$,94.2823,Exchange Rate API
2026-02-19,US Dollar,$,93.9708,Exchange Rate API
2026-02-18,US Dollar,$,93.7882,Exchange Rate API
2026-02-17,US Dollar,$,93.8876,Exchange Rate API
2026-02-16,US Dollar,$,93.5835,Exchange Rate API
2026-02-15,US Dollar,$,93.2693,Exchange Rate API
2026-02-14,US Dollar,$,92.7891,Exchange Rate API
2026-02-13,US Dollar,$,92.9351,Exchange Rate API
2026-02-12,US Dollar,$,92.6328,Exchange Rate API
2026-02-11,US Dollar,$,93.0835,Exchange Rate API
2026-02-10,US Dollar,$,93.4852,Exchange Rate API
2026-02-09,US Dollar,$,93.0038,Exchange Rate API
2026-02-08,US Dollar,$,92.7114,Exchange Rate API
2026-02-07,US Dollar,$,92.8994,Exchange Rate API
2026-02-06,US Dollar,$,92.5808,Exchange Rate API
2026-02-05,US Dollar,$,92.1723,Exchange Rate API
2026-02-04,US Dollar,$,92.654,Exchange Rate API
2026-02-03,US Dollar,$,92.733,Exchange Rate API
2026-02-02,US Dollar,$,92.7026,Exchange Rate API
2026-02-01,US Dollar,$,93.0192,Exchange Rate API
2026-01-31,US Dollar,$,93.3624,Exchange Rate API
2026-01-30,US Dollar,$,93.0156,Exchange Rate API
2026-01-29,US Dollar,$,92.5657,Exchange Rate API
2026-01-28,US Dollar,$,92.4891,Exchange Rate API
2026-01-27,US Dollar,$,92.4043,Exchange Rate API
2026-01-26,US Dollar,$,92.3677,Exchange Rate API
2026-01-25,US Dollar,$,92.6216,Exchange Rate API
2026-01-24,US Dollar,$,92.8143,Exchange Rate API
2026-01-23,US Dollar,$,93.3535,Exchange Rate API
2026-01-22,US Dollar,$,92.9036,Exchange Rate API
2026-01-21,US Dollar,$,92.795,Exchange Rate API
2026-01-20,US Dollar,$,92.6161,Exchange Rate API
2026-01-19,US Dollar,$,93.0181,Exchange Rate API
2026-01-18,US Dollar,$,92.7375,Exchange Rate API
2026-01-17,US Dollar,$,92.3927,Exchange Rate API
2026-01-16,US Dollar,$,92.3357,Exchange Rate API
2026-01-15,US Dollar,$,92.2491,Exchange Rate API
2026-01-14,US Dollar,$,92.004,Exchange Rate API
2026-01-13,US Dollar,$,91.7278,Exchange Rate API
2026-01-12,US Dollar,$,92.1937,Exchange Rate API
2026-01-11,US Dollar,$,92.1308,Exchange Rate API
2026-01-10,US Dollar,$,92.5303,Exchange Rate API
2026-01-09,US Dollar,$,92.5862,Exchange Rate API
2026-01-08,US Dollar,$,92.0869,Exchange Rate API
2026-01-07,US Dollar,$,92.6386,Exchange Rate API
2026-01-06,US Dollar,$,93.0121,Exchange Rate API
2026-01-05,US Dollar,$,93.5356,Exchange Rate API
2026-01-04,US Dollar,$,94.0142,Exchange Rate API
2026-01-03,US Dollar,$,94.4076,Exchange Rate API
2026-01-02,US Dollar,$,94.0296,Exchange Rate API
2026-01-01,US Dollar,$,94.0134,Exchange Rate API
2025-12-31,US Dollar,$,93.6905,Exchange Rate API
2025-12-30,US Dollar,$,93.5792,Exchange Rate API
2025-12-29,US Dollar,$,93.0836,Exchange Rate API
2025-12-28,US Dollar,$,92.9484,Exchange Rate API
2025-12-27,US Dollar,$,93.4897,Exchange Rate API
2025-12-26,US Dollar,$,93.2263,Exchange Rate API
2025-12-25,US Dollar,$,93.5441,Exchange Rate API
2025-12-24,US Dollar,$,93.4936,Exchange Rate API
2025-12-23,US Dollar,$,93.4072,Exchange Rate API
2025-12-22,US Dollar,$,93.9198,Exchange Rate API
2025-12-21,US Dollar,$,94.4782,Exchange Rate API
2025-12-20,US Dollar,$,94.5414,Exchange Rate API
2025-12-19,US Dollar,$,94.7892,Exchange Rate API
2025-12-18,US Dollar,$,94.3965,Exchange Rate API
2025-12-17,US Dollar,$,94.1662,Exchange Rate API
2025-12-16,US Dollar,$,94.6958,Exchange Rate API
2025-12-15,US Dollar,$,94.7858,Exchange Rate API
2025-12-14,US Dollar,$,94.8338,Exchange Rate API
2025-12-13,US Dollar,$,95.116,Exchange Rate API
2025-12-12,US Dollar,$,94.6106,Exchange Rate API
2025-12-11,US Dollar,$,94.7062,Exchange Rate API
2025-12-10,US Dollar,$,94.7094,Exchange Rate API
2025-12-09,US Dollar,$,95.1103,Exchange Rate API
2025-12-08,US Dollar,$,94.7193,Exchange Rate API
