application_id,customer_id,loan_id,application_date,requested_amount,approval_status,created_at,updated_at,source_system
APP00000001,CUST00002933,,2022-11-12,1927035.39,Rejected,2026-07-25 01:44:21.178348,,Loan Management System
APP00000002,CUST00003986,,2022-12-06,3827106.86,Cancelled,2026-07-25 01:44:21.178348,,Loan Management System
APP00000003,CUST00000905,LN00000894,2017-03-01,1494030.14,Approved,2026-07-25 01:44:21.178348,,Loan Management System
APP00000004,CUST00001251,,2020-06-19,843234.66,Rejected,2026-07-25 01:44:21.179348,,Loan Management System
APP00000005,CUST00001781,LN00001987,2024-06-17,2634168.16,Approved,2026-07-25 01:44:21.179348,,Loan Management System
APP00000006,CUST00001331,LN00000563,2018-06-04,9056475.16,Approved,2026-07-25 01:44:21.179348,,Loan Management System
APP00000007,CUST00002564,LN00001511,2023-07-05,987033.39,Approved,2026-07-25 01:44:21.179348,,Loan Management System
APP00000008,CUST00004970,,2020-10-25,377988.4,Rejected,2026-07-25 01:44:21.179348,,Loan Management System
APP00000009,CUST00000784,,2020-03-11,1161535.27,Pending,2026-07-25 01:44:21.180352,,Loan Management System
APP00000010,CUST00002610,,2024-12-09,1596848.25,Rejected,2026-07-25 01:44:21.180352,,Loan Management System
APP00000011,CUST00004648,LN00000157,2015-04-07,2030223.41,Approved,2026-07-25 01:44:21.180352,,Loan Management System
APP00000012,CUST00004955,,2020-12-27,2444686.64,Cancelled,2026-07-25 01:44:21.180352,,Loan Management System
APP00000013,CUST00002585,LN00001583,2016-06-06,3378576.41,Approved,2026-07-25 01:44:21.180352,,Loan Management System
APP00000014,CUST00004190,LN00001581,2017-08-07,162639.17,Approved,2026-07-25 01:44:21.181370,,Loan Management System
APP00000015,CUST00001984,LN00000687,2016-05-25,1358573.47,Approved,2026-07-25 01:44:21.181370,,Loan Management System
APP00000016,CUST00004604,LN00001879,2020-01-02,2176112.74,Approved,2026-07-25 01:44:21.181370,,Loan Management System
APP00000017,CUST00004700,LN00001793,2024-09-24,2074050.62,Approved,2026-07-25 01:44:21.181370,,Loan Management System
APP00000018,CUST00001111,LN00001674,2020-12-23,2964218.77,Approved,2026-07-25 01:44:21.181370,,Loan Management System
APP00000019,CUST00003268,LN00000816,2014-02-02,986562.15,Approved,2026-07-25 01:44:21.181370,,Loan Management System
APP00000020,CUST00003905,LN00000024,2011-11-29,499305.2,Approved,2026-07-25 01:44:21.181370,,Loan Management System
APP00000021,CUST00001468,LN00001831,2024-08-19,269204.15,Approved,2026-07-25 01:44:21.181370,,Loan Management System
APP00000022,CUST00003235,,2017-08-20,2793148.61,Pending,2026-07-25 01:44:21.181370,,Loan Management System
APP00000023,CUST00000811,,2024-12-22,3278737.26,Pending,2026-07-25 01:44:21.182357,,Loan Management System
APP00000024,CUST00002786,LN00001371,2013-05-29,2237999.89,Approved,2026-07-25 01:44:21.182357,,Loan Management System
APP00000025,CUST00001323,,2017-06-05,531033.93,Pending,2026-07-25 01:44:21.182357,,Loan Management System
APP00000026,CUST00001404,LN00001627,2016-09-17,165312.98,Approved,2026-07-25 01:44:21.182357,,Loan Management System
APP00000027,CUST00004915,LN00002144,2025-06-28,3179329.67,Approved,2026-07-25 01:44:21.182357,,Loan Management System
APP00000028,CUST00003541,LN00001242,2021-07-17,1309651.21,Approved,2026-07-25 01:44:21.182357,,Loan Management System
APP00000029,CUST00000473,,2024-09-07,881060.45,Rejected,2026-07-25 01:44:21.182357,,Loan Management System
APP00000030,CUST00004483,,2021-06-17,645737.6,Rejected,2026-07-25 01:44:21.183355,,Loan Management System
APP00000031,CUST00004649,LN00001193,2015-12-26,1307654.89,Approved,2026-07-25 01:44:21.183355,,Loan Management System
APP00000032,CUST00001836,LN00000414,2022-11-30,5687876.02,Approved,2026-07-25 01:44:21.183355,,Loan Management System
APP00000033,CUST00004940,,2012-04-25,1925439.36,Rejected,2026-07-25 01:44:21.183355,,Loan Management System
APP00000034,CUST00002504,LN00000206,2020-02-16,959475.15,Approved,2026-07-25 01:44:21.183355,,Loan Management System
APP00000035,CUST00003986,,2020-11-06,1628725.16,Rejected,2026-07-25 01:44:21.184371,,Loan Management System
APP00000036,CUST00002707,,2017-04-27,4976477.34,Cancelled,2026-07-25 01:44:21.184371,,Loan Management System
