collateral_id,loan_id,asset_type,asset_value,valuation_date,created_at,updated_at,source_system
COL00000001,LN00001673,Property,4308870.06,2025-03-30,2026-07-25 01:44:21.940794,,Loan Management System
COL00000002,LN00001262,Property,786170.49,2018-11-07,2026-07-25 01:44:21.940794,,Loan Management System
COL00000003,LN00001220,Vehicle,2373430.67,2016-01-20,2026-07-25 01:44:21.940794,,Loan Management System
COL00000004,LN00001912,Gold,2207362.9,2023-03-27,2026-07-25 01:44:21.940794,,Loan Management System
COL00000005,LN00000505,Vehicle,1724515.59,2022-05-05,2026-07-25 01:44:21.940794,,Loan Management System
COL00000006,LN00002050,Property,14946170.28,2022-11-06,2026-07-25 01:44:21.940794,,Loan Management System
COL00000007,LN00001668,Property,7422794.74,2023-01-07,2026-07-25 01:44:21.940794,,Loan Management System
COL00000008,LN00001722,Vehicle,2505028.08,2020-09-01,2026-07-25 01:44:21.940794,,Loan Management System
COL00000009,LN00002032,Property,5211603.54,2019-10-13,2026-07-25 01:44:21.940794,,Loan Management System
COL00000010,LN00000488,Vehicle,1691614.94,2016-03-07,2026-07-25 01:44:21.940794,,Loan Management System
COL00000011,LN00000206,Property,1196529.76,2020-03-07,2026-07-25 01:44:21.940794,,Loan Management System
COL00000012,LN00002080,Property,7564051.64,2025-09-17,2026-07-25 01:44:21.940794,,Loan Management System
COL00000013,LN00000629,Property,1396898.14,2018-11-29,2026-07-25 01:44:21.940794,,Loan Management System
COL00000014,LN00000615,Gold,1410601.25,2011-12-30,2026-07-25 01:44:21.940794,,Loan Management System
COL00000015,LN00000082,Vehicle,1320271.49,2016-06-24,2026-07-25 01:44:21.940794,,Loan Management System
COL00000016,LN00001828,Gold,342483.49,2012-08-04,2026-07-25 01:44:21.940794,,Loan Management System
COL00000017,LN00001055,Vehicle,1686067.89,2015-08-17,2026-07-25 01:44:21.940794,,Loan Management System
COL00000018,LN00000182,Vehicle,3631564.69,2011-09-11,2026-07-25 01:44:21.940794,,Loan Management System
COL00000019,LN00002414,Vehicle,2731292.2,2025-08-20,2026-07-25 01:44:21.940794,,Loan Management System
COL00000020,LN00000891,Property,26792697.23,2015-02-17,2026-07-25 01:44:21.940794,,Loan Management System
COL00000021,LN00001237,Property,9561039.13,2012-09-30,2026-07-25 01:44:21.941790,,Loan Management System
COL00000022,LN00001819,Property,10420680.79,2014-07-10,2026-07-25 01:44:21.941790,,Loan Management System
COL00000023,LN00000610,Vehicle,2310022.0,2018-05-09,2026-07-25 01:44:21.941790,,Loan Management System
COL00000024,LN00000419,Property,26724291.57,2021-03-21,2026-07-25 01:44:21.941790,,Loan Management System
COL00000025,LN00001837,Property,7916649.67,2020-01-21,2026-07-25 01:44:21.941790,,Loan Management System
COL00000026,LN00000747,Property,10374413.09,2024-04-06,2026-07-25 01:44:21.941790,,Loan Management System
COL00000027,LN00001827,Property,2383603.96,2024-03-07,2026-07-25 01:44:21.941790,,Loan Management System
COL00000028,LN00001669,Property,4993566.19,2023-11-04,2026-07-25 01:44:21.941790,,Loan Management System
