loan_id,customer_id,loan_type,principal_amount,interest_rate,tenure_months,emi_amount,loan_status,disbursement_date,created_at,updated_at,source_system
LN00000001,CUST00004826,Car Loan,270030.11,9.66,40,7922.76,Active,2022-06-10,2026-07-25 01:44:20.514030,,Loan Management System
LN00000002,CUST00002578,Home Loan,7536343.57,12.77,276,84763.64,Active,2013-06-15,2026-07-25 01:44:20.515031,,Loan Management System
LN00000003,CUST00003265,Home Loan,2710278.49,13.42,347,30962.88,Active,2011-12-27,2026-07-25 01:44:20.515031,,Loan Management System
LN00000004,CUST00003447,Car Loan,1725836.15,9.04,47,43740.09,Closed,2024-03-05,2026-07-25 01:44:20.516031,,Loan Management System
LN00000005,CUST00000410,Home Loan,8155282.89,14.53,234,105030.31,Active,2016-03-28,2026-07-25 01:44:20.516031,,Loan Management System
LN00000006,CUST00000980,Home Loan,7753194.23,7.68,254,61856.65,Active,2015-09-23,2026-07-25 01:44:20.517031,,Loan Management System
LN00000007,CUST00000020,Business Loan,12272657.61,15.78,105,216236.57,Active,2015-05-11,2026-07-25 01:44:20.517031,,Loan Management System
LN00000008,CUST00001244,Home Loan,9261806.03,7.41,210,78831.9,Closed,2013-12-08,2026-07-25 01:44:20.517031,,Loan Management System
LN00000009,CUST00004511,Car Loan,2612779.32,13.14,20,146176.77,Active,2024-02-03,2026-07-25 01:44:20.518031,,Loan Management System
LN00000010,CUST00002884,Home Loan,3249185.65,7.42,179,30064.27,Defaulted,2013-04-21,2026-07-25 01:44:20.518031,,Loan Management System
LN00000011,CUST00003480,Personal Loan,707444.94,16.09,22,37345.82,Active,2023-01-27,2026-07-25 01:44:20.518031,,Loan Management System
LN00000012,CUST00004632,Home Loan,3036289.31,17.27,96,58548.89,Closed,2024-02-29,2026-07-25 01:44:20.518031,,Loan Management System
LN00000013,CUST00000873,Home Loan,7426704.58,8.38,254,62541.63,Active,2020-11-02,2026-07-25 01:44:20.519031,,Loan Management System
LN00000014,CUST00000118,Gold Loan,1728200.85,9.03,23,82110.65,Closed,2013-01-15,2026-07-25 01:44:20.519031,,Loan Management System
